africa.kaspersky.com,/offer/southernafrica/en/usd/purchase
afrique.kaspersky.com,/offer/frenchafrica/fr/eur/purchase
algerie.kaspersky.com,
www.kaspersky.com.au,/offer/southasia/en/inr/purchase
www.kaspersky.de,/offer/dach/de/eur/purchase
www.kaspersky.be,/offer/be/fr/eur/purchase
www.kaspersky.com.br,/offer/br/pt/brl/purchase
www.kaspersky.bg,/offer/bg/bg/eur/purchase
www.kaspersky.ca,/offer/ca/en/cad/purchase
www.kaspersky.com.cn,/offer/cn/zh/cny/purchase
www.kaspersky.cz,/offer/cz/cs/eur/purchase
www.kaspersky.dk,/offer/dk/da/dkk/purchase
www.kaspersky.fi,/offer/fi/fi/eur/purchase
www.kaspersky.fr,/offer/fr/fr/eur/purchase
www.kaspersky.com,/offer/southasia/en/inr/purchase
www.kaspersky.gr,/offer/gr/el/eur/purchase
www.kaspersky.com.hk,
www.kaspersky.hu,/offer/hu/hu/eur/purchase
www.kaspersky.co.in,/offer/southasia/en/inr/purchase
www.kaspersky.it,/offer/it/it/eur/purchase
www.kaspersky.co.jp,
www.kaspersky.co.kr,
latam.kaspersky.com,/offer/latam/es/usd/purchase
me.kaspersky.com,/offer/middleeast/ar/usd/purchase
me-en.kaspersky.com,/offer/middleeast/en/usd/purchase
www.kaspersky.ma,/offer/ma/fr/mad/purchase
www.kaspersky.no,/offer/no/nb/nok/purchase
www.kaspersky.pl,
www.kaspersky.pt,/offer/pt/pt/eur/purchase
www.kaspersky.ro, /offer/ro/ro/eur/purchase
www.kaspersky.ru,/offer/ru/ru/rub/purchase
www.kaspersky.rs,
www.kaspersky.co.za,/offer/southernafrica/en/usd/purchase
www.kaspersky.es,/offer/es/es/eur/purchase
www.kaspersky.se,/offer/se/sv/sek/purchase
www.kaspersky.com.tw,/offer/tw/zh/twd/purchase
www.kaspersky.co.th,
www.kaspersky.nl,/offer/nl/nl/eur/purchase
www.kaspersky.tn,
www.kaspersky.com.tr,/offer/tr/tr/try/purchase
www.kaspersky.ua,
www.kaspersky.co.uk,/offer/southasia/en/inr/purchase
usa.kaspersky.com,/offer/us/en/usd/purchase
www.kaspersky.com.vn,/offer/vn/vi/vnd/purchase
